Time to complete exam,Year,Grade,Attemptnumber,Bachelor/Master,Nachklausur
58,2022,5.0,1,Master,No
61,2022,1.7,1,Bachelor,No
69,2022,4.0,2,Master,No
68,2022,3.7,1,Bachelor,No
82,2022,1.7,1,Bachelor,No
72,2022,5.0,1,Bachelor,No
72,2022,4.0,1,Master,No
61,2022,2.0,1,Bachelor,No
67,2022,5.0,1,Master,No
34,2022,5.0,1,Bachelor,No
65,2022,5.0,1,Bachelor,No
72,2022,5.0,1,Master,No
46,2022,4.0,1,Master,No
79,2022,3.7,1,Master,No
75,2022,2.3,1,Bachelor,No
65,2022,2.7,1,Master,No
63,2022,5.0,1,Master,No
34,2022,5.0,3,Master,No
79,2022,3.7,1,Master,No
68,2022,2.3,1,Bachelor,No
76,2022,2.3,1,Master,No
64,2022,5.0,1,Master,No
24,2022,4.0,1,Master,No
43,2022,5.0,1,Master,No
78,2022,4.0,2,Master,No
34,2022,5.0,1,Bachelor,No
80,2022,3.0,1,Master,No
63,2022,3.7,1,Master,No
72,2022,4.0,1,Master,No
73,2022,1.0,1,Master,No
74,2022,3.0,2,Master,No
70,2022,1.7,1,Master,No
68,2022,2.7,1,Bachelor,No
36,2022,2.3,1,Master,No
76,2022,2.3,1,Bachelor,No
15,2022,5.0,1,Master,No
65,2022,2.7,1,Bachelor,No
81,2022,4.0,2,Master,No
71,2022,2.3,1,Master,No
73,2022,1.0,1,Bachelor,No
64,2022,4.0,1,Bachelor,No
50,2022,4.0,1,Master,No
39,2022,2.7,1,Master,No
73,2022,2.3,1,Master,No
34,2022,5.0,2,Master,No
63,2022,1.0,1,Bachelor,No
15,2022,5.0,1,Master,No
76,2022,3.0,1,Bachelor,No
58,2022,4.0,1,Master,No
74,2022,2.3,1,Bachelor,No
74,2022,2.0,1,Master,No
70,2022,5.0,1,Master,Yes
65,2022,2.7,1,Master,Yes
72,2022,3.0,2,Master,Yes
52,2022,1.0,2,Bachelor,Yes
49,2022,1.7,2,Bachelor,Yes
78,2022,5.0,1,Master,Yes
48,2022,1.3,1,Master,Yes
71,2022,2.3,2,Master,Yes
78,2022,1.3,1,Master,Yes
48,2022,3.0,2,Master,Yes
68,2022,2.0,1,Bachelor,Yes
64,2022,5.0,1,Master,Yes
75,2022,1.7,1,Bachelor,Yes
64,2022,4.0,1,Master,Yes
68,2022,4.0,1,Master,Yes
83,2022,1.7,2,Bachelor,Yes
71,2022,2.3,2,Master,Yes
68,2022,1.3,2,Bachelor,Yes
68,2022,2.7,2,Master,Yes
52,2022,1.7,1,Master,Yes
78,2022,1.0,2,Master,Yes
73,2022,1.0,1,Master,Yes
81,2022,4.0,1,Master,Yes
73,2022,5.0,3,Master,Yes
46,2022,3.7,2,Master,Yes
24,2022,4.0,2,Master,Yes
52,2022,1.7,1,Master,Yes
75,2022,2.7,2,Master,Yes
61,2022,1.7,1,Master,Yes
47,2022,2.7,1,Master,Yes
70,2022,3.3,1,Master,Yes
54,2022,1.0,2,Master,Yes
24,2022,4.0,2,Master,Yes
82,2022,1.3,1,Master,Yes
58,2021,4.0,1,Master,No
38,2021,3.0,2,Master,No
72,2021,5.0,2,Master,No
60,2021,1.3,1,Master,No
82,2021,2.3,1,Bachelor,No
59,2021,2.0,1,Bachelor,No
69,2021,2.7,1,Master,No
61,2021,1.3,1,Bachelor,No
85,2021,1.0,1,Bachelor,No
77,2021,3.3,2,Bachelor,No
77,2021,3.0,1,Master,No
68,2021,2.3,1,Master,No
70,2021,3.0,1,Master,No
74,2021,1.0,1,Bachelor,No
79,2021,4.0,1,Master,No
77,2021,3.0,1,Master,No
69,2021,2.3,2,Bachelor,No
39,2021,3.3,3,Master,No
68,2021,3.0,1,Master,No
68,2021,2.3,2,Bachelor,No
44,2021,3.3,1,Bachelor,No
68,2021,3.0,1,Bachelor,No
69,2021,1.3,1,Bachelor,No
48,2021,2.0,2,Master,No
48,2021,1.3,1,Master,No
63,2021,3.7,1,Master,No
68,2021,1.7,1,Bachelor,No
78,2021,4.0,1,Master,No
44,2021,4.0,1,Bachelor,No
79,2021,4.0,1,Bachelor,No
75,2021,3.0,1,Master,No
39,2021,3.0,1,Master,No
39,2021,3.3,1,Bachelor,No
75,2021,1.7,1,Master,No
63,2021,5.0,1,Master,No
71,2021,5.0,2,Bachelor,No
48,2021,1.3,1,Master,No
59,2021,2.7,2,Master,No
64,2021,4.0,2,Master,No
56,2021,2.7,1,Bachelor,No
74,2021,4.0,1,Bachelor,No
79,2021,4.0,2,Master,No
78,2021,2.0,1,Master,No
69,2021,3.0,1,Master,No
78,2021,2.0,2,Master,No
46,2021,5.0,3,Master,No
63,2021,1.0,1,Master,No
77,2021,3.0,3,Master,No
36,2021,2.3,1,Bachelor,No
82,2021,3.0,1,Bachelor,No
68,2021,3.0,1,Master,No
49,2021,1.7,1,Bachelor,No
86,2021,5.0,1,Master,No
76,2021,3.3,1,Master,No
65,2021,3.3,1,Master,No
64,2021,5.0,1,Bachelor,No
74,2021,1.3,1,Bachelor,No
50,2021,5.0,2,Bachelor,No
54,2021,1.3,1,Bachelor,No
48,2021,1.7,1,Master,No
37,2021,1.3,1,Master,No
50,2021,4.0,1,Master,No
72,2021,3.0,3,Master,No
78,2021,5.0,2,Master,No
15,2021,5.0,1,Bachelor,No
63,2021,4.0,1,Master,No
73,2021,5.0,1,Master,No
52,2021,1.7,3,Master,No
73,2021,2.0,1,Bachelor,No
63,2021,4.0,1,Bachelor,No
66,2021,1.3,2,Bachelor,No
65,2021,3.0,1,Bachelor,No
15,2021,5.0,1,Master,No
64,2021,5.0,2,Master,No
72,2021,2.7,1,Master,No
45,2021,1.3,1,Master,No
70,2021,2.3,1,Master,No
74,2021,3.7,1,Bachelor,No
63,2021,4.0,1,Master,No
72,2021,5.0,1,Bachelor,No
51,2021,1.0,2,Bachelor,No
39,2021,2.7,1,Master,No
68,2021,2.0,1,Master,No
30,2021,1.3,1,Bachelor,No
72,2021,2.7,1,Master,No
15,2021,5.0,3,Bachelor,No
48,2021,1.7,3,Master,No
77,2021,2.0,1,Bachelor,No
46,2021,4.0,1,Master,No
51,2021,2.7,1,Master,No
83,2021,2.0,1,Master,No
65,2021,2.7,1,Master,No
69,2021,4.0,3,Master,Yes
45,2021,2.0,2,Master,Yes
54,2021,1.0,1,Master,Yes
67,2021,5.0,2,Bachelor,Yes
75,2021,2.7,1,Bachelor,Yes
65,2021,3.0,2,Master,Yes
73,2021,2.0,1,Bachelor,Yes
82,2021,3.7,1,Master,Yes
45,2021,1.7,1,Bachelor,Yes
39,2021,3.3,1,Master,Yes
58,2021,3.7,1,Master,Yes
72,2021,5.0,1,Bachelor,Yes
70,2021,3.3,1,Master,Yes
68,2021,2.3,1,Master,Yes
38,2021,3.0,1,Bachelor,Yes
49,2021,1.3,1,Master,Yes
45,2021,1.0,1,Bachelor,Yes
68,2021,2.7,2,Bachelor,Yes
78,2021,4.0,1,Bachelor,Yes
60,2021,1.3,1,Master,Yes
73,2021,5.0,2,Master,Yes
50,2021,3.7,1,Bachelor,Yes
60,2021,2.0,1,Master,Yes
73,2021,2.3,1,Master,Yes
68,2021,3.3,1,Bachelor,Yes
74,2021,1.3,2,Bachelor,Yes
47,2021,2.3,1,Master,Yes
